,policyID,county
0,119736,CLAY COUNTY
1,448094,CLAY COUNTY
2,206893,CLAY COUNTY
3,333743,CLAY COUNTY
4,172534,CLAY COUNTY
5,785275,CLAY COUNTY
6,995932,CLAY COUNTY
7,223488,CLAY COUNTY
8,433512,CLAY COUNTY
9,142071,CLAY COUNTY
10,253816,CLAY COUNTY
11,894922,CLAY COUNTY
12,422834,CLAY COUNTY
13,582721,CLAY COUNTY
14,842700,CLAY COUNTY
15,874333,CLAY COUNTY
16,580146,CLAY COUNTY
17,456149,CLAY COUNTY
18,767862,CLAY COUNTY
19,353022,CLAY COUNTY
20,367814,CLAY COUNTY
21,671392,CLAY COUNTY
22,772887,CLAY COUNTY
23,983122,CLAY COUNTY
24,934215,CLAY COUNTY
25,385951,CLAY COUNTY
26,716332,CLAY COUNTY
27,751262,CLAY COUNTY
28,633663,CLAY COUNTY
29,105851,CLAY COUNTY
30,710400,CLAY COUNTY
31,703001,CLAY COUNTY
32,352792,CLAY COUNTY
33,717603,CLAY COUNTY
34,937659,SUWANNEE COUNTY
35,294022,SUWANNEE COUNTY
36,410500,SUWANNEE COUNTY
37,524433,SUWANNEE COUNTY
38,779298,SUWANNEE COUNTY
39,491831,SUWANNEE COUNTY
40,814637,SUWANNEE COUNTY
41,737515,SUWANNEE COUNTY
42,222653,SUWANNEE COUNTY
43,788543,SUWANNEE COUNTY
44,691681,SUWANNEE COUNTY
45,368807,SUWANNEE COUNTY
46,174002,SUWANNEE COUNTY
47,198760,SUWANNEE COUNTY
48,831395,SUWANNEE COUNTY
49,305698,SUWANNEE COUNTY
50,515722,SUWANNEE COUNTY
51,415582,SUWANNEE COUNTY
52,783533,SUWANNEE COUNTY
53,640802,SUWANNEE COUNTY
54,403866,SUWANNEE COUNTY
55,828788,SUWANNEE COUNTY
56,751490,SUWANNEE COUNTY
57,972562,SUWANNEE COUNTY
58,367541,SUWANNEE COUNTY
59,481360,SUWANNEE COUNTY
60,920232,NASSAU COUNTY
61,727659,NASSAU COUNTY
62,471817,NASSAU COUNTY
63,983043,NASSAU COUNTY
64,578286,NASSAU COUNTY
65,347276,NASSAU COUNTY
66,477786,NASSAU COUNTY
67,265907,NASSAU COUNTY
68,107560,NASSAU COUNTY
69,908183,NASSAU COUNTY
70,356024,NASSAU COUNTY
71,575299,NASSAU COUNTY
72,790478,NASSAU COUNTY
73,801776,NASSAU COUNTY
74,291781,NASSAU COUNTY
75,537286,NASSAU COUNTY
76,289305,COLUMBIA COUNTY
77,697409,COLUMBIA COUNTY
78,633944,COLUMBIA COUNTY
79,963511,COLUMBIA COUNTY
80,729649,COLUMBIA COUNTY
